,Q12_1,Location_district
46,"Yes, previously, but not this past year",Mkushi
70,"Yes, previously, but not this past year",Mkushi
76,"Yes, previously, but not this past year",Mkushi
153,"Yes, previously, but not this past year",Mkushi
259,"Yes, previously, but not this past year",Monze
440,"Yes, previously, but not this past year",Mansa
472,"Yes, previously, but not this past year",Mansa
483,"Yes, this cultivation-year (2023-2024)",Mansa
496,"Yes, this cultivation-year (2023-2024)",Mansa
530,"Yes, this cultivation-year (2023-2024)",Mansa
532,"Yes, previously, but not this past year",Mansa
534,"Yes, this cultivation-year (2023-2024)",Mansa
536,"Yes, previously, but not this past year",Mansa
537,"Yes, this cultivation-year (2023-2024)",Mansa
547,"Yes, this cultivation-year (2023-2024)",Mansa
548,"Yes, this cultivation-year (2023-2024)",Mansa
551,"Yes, previously, but not this past year",Mansa
552,"Yes, previously, but not this past year",Mansa
557,"Yes, this cultivation-year (2023-2024)",Mansa
558,"Yes, this cultivation-year (2023-2024)",Mansa
563,"Yes, this cultivation-year (2023-2024)",Mansa
566,"Yes, this cultivation-year (2023-2024)",Mansa
567,"Yes, this cultivation-year (2023-2024)",Mansa
571,"Yes, this cultivation-year (2023-2024)",Mansa
576,"Yes, this cultivation-year (2023-2024)",Mansa
580,"Yes, this cultivation-year (2023-2024)",Mansa
582,"Yes, previously, but not this past year",Mansa
588,"Yes, this cultivation-year (2023-2024)",Mansa
597,"Yes, this cultivation-year (2023-2024)",Mansa
598,"Yes, this cultivation-year (2023-2024)",Mansa
599,"Yes, this cultivation-year (2023-2024)",Mansa
603,"Yes, previously, but not this past year",Mansa
605,"Yes, this cultivation-year (2023-2024)",Mansa
609,"Yes, this cultivation-year (2023-2024)",Mansa
614,"Yes, this cultivation-year (2023-2024)",Mansa
622,"Yes, previously, but not this past year",Mansa
625,"Yes, previously, but not this past year",Mansa
627,"Yes, this cultivation-year (2023-2024)",Mansa
628,"Yes, this cultivation-year (2023-2024)",Mansa
629,"Yes, previously, but not this past year",Mansa
637,"Yes, previously, but not this past year",Mansa
639,"Yes, previously, but not this past year",Mansa
642,"Yes, this cultivation-year (2023-2024)",Mansa
644,"Yes, previously, but not this past year",Mansa
648,"Yes, this cultivation-year (2023-2024)",Mansa
649,"Yes, this cultivation-year (2023-2024)",Mansa
656,"Yes, this cultivation-year (2023-2024)",Mansa
659,"Yes, this cultivation-year (2023-2024)",Mansa
663,"Yes, previously, but not this past year",Mansa
664,"Yes, this cultivation-year (2023-2024)",Mansa
668,"Yes, previously, but not this past year",Mansa
673,"Yes, previously, but not this past year",Mansa
676,"Yes, previously, but not this past year",Mansa
688,"Yes, this cultivation-year (2023-2024)",Mansa
689,"Yes, this cultivation-year (2023-2024)",Mansa
690,"Yes, previously, but not this past year",Mansa
691,"Yes, this cultivation-year (2023-2024)",Mansa
704,"Yes, this cultivation-year (2023-2024)",Mansa
705,"Yes, this cultivation-year (2023-2024)",Chipili
711,"Yes, previously, but not this past year",Mansa
714,"Yes, this cultivation-year (2023-2024)",Mansa
716,"Yes, this cultivation-year (2023-2024)",Mansa
720,"Yes, this cultivation-year (2023-2024)",Mansa
722,"Yes, previously, but not this past year",Mansa
726,"Yes, this cultivation-year (2023-2024)",Mansa
728,"Yes, previously, but not this past year",Mansa
732,"Yes, this cultivation-year (2023-2024)",Mansa
733,"Yes, this cultivation-year (2023-2024)",Mansa
736,"Yes, previously, but not this past year",Mansa
737,"Yes, this cultivation-year (2023-2024)",Mansa
741,"Yes, this cultivation-year (2023-2024)",Mansa
742,"Yes, previously, but not this past year",Mansa
743,"Yes, previously, but not this past year",Mansa
746,"Yes, previously, but not this past year",Mansa
752,"Yes, previously, but not this past year",Mansa
753,"Yes, this cultivation-year (2023-2024)",Mansa
755,"Yes, this cultivation-year (2023-2024)",Mansa
757,"Yes, this cultivation-year (2023-2024)",Mansa
759,"Yes, previously, but not this past year",Mansa
760,"Yes, this cultivation-year (2023-2024)",Mansa
762,"Yes, previously, but not this past year",Mansa
767,"Yes, previously, but not this past year",Mansa
769,"Yes, previously, but not this past year",Chipili
771,"Yes, previously, but not this past year",Mansa
776,"Yes, this cultivation-year (2023-2024)",Mansa
778,"Yes, this cultivation-year (2023-2024)",Mansa
779,"Yes, this cultivation-year (2023-2024)",Mansa
804,"Yes, this cultivation-year (2023-2024)",Mansa
820,"Yes, previously, but not this past year",Mansa
830,"Yes, this cultivation-year (2023-2024)",Mansa
839,"Yes, this cultivation-year (2023-2024)",Mansa
850,"Yes, previously, but not this past year",Mansa
873,"Yes, this cultivation-year (2023-2024)",Kasama
893,"Yes, previously, but not this past year",Kasama
1024,"Yes, previously, but not this past year",Kasama
1070,"Yes, previously, but not this past year",Solwezi
1088,"Yes, this cultivation-year (2023-2024)",Kasama
1107,"Yes, this cultivation-year (2023-2024)",Kasama
1134,"Yes, previously, but not this past year",Kasama
1183,"Yes, this cultivation-year (2023-2024)",Kasama
1188,"Yes, this cultivation-year (2023-2024)",Solwezi
1206,"Yes, this cultivation-year (2023-2024)",Kasama
1208,"Yes, this cultivation-year (2023-2024)",Kasama
1219,"Yes, previously, but not this past year",Kasama
